"","trip_start_timestamp","pickup_census_tract","dropoff_census_tract","trip_seconds","trip_miles","fare","pickup_census_tract_centroid","dropoff_census_tract_centroid","year","month","weekday","day","time_decimal","type","dropoff_census_tract.1","pickup_centroid_latitude","pickup_centroid_longitude","pickup_census_tract.1","dropoff_centroid_latitude","dropoff_centroid_longitude"
"53","2013-02-16 00:15:00",17031062100,17031080202,720,4,11.65,17031062100,17031080202,2013,2,"Samstag",16,0.25,NA,17031062100,41.942691844,-87.651770507,17031080202,41.905857769,-87.630865027
"54","2013-02-13 00:30:00",17031071100,17031242100,480,0.1,7.85,17031071100,17031242100,2013,2,"Mittwoch",13,0.5,NA,17031071100,41.921778188,-87.651061884,17031242100,41.89967018,-87.669837798
"55","2013-02-11 00:45:00",17031071500,17031080300,360,1,5.45,17031071500,17031080300,2013,2,"Montag",11,0.75,NA,17031071500,41.914616286,-87.631717366,17031080300,41.90749193,-87.63576009
"56","2013-02-16 01:00:00",17031031100,17031031400,300,1.4,5.85,17031031100,17031031400,2013,2,"Samstag",16,1,NA,17031031100,41.972667956,-87.663865496,17031031400,41.962178629,-87.645378762
"57","2013-02-22 01:15:00",17031070300,17031832000,600,1.7,7.05,17031070300,17031832000,2013,2,"Freitag",22,1.25,NA,17031070300,41.929046937,-87.651310877,17031832000,41.946294536,-87.654298084
"58","2013-02-16 01:30:00",17031081600,17031081700,300,0.4,4.84,17031081600,17031081700,2013,2,"Samstag",16,1.5,NA,17031081600,41.892072635,-87.628874157,17031081700,41.892042136,-87.63186395
"59","2013-02-16 01:45:00",17031071500,17031081100,300,0.8,5.05,17031071500,17031081100,2013,2,"Samstag",16,1.75,NA,17031071500,41.914616286,-87.631717366,17031081100,41.900221297,-87.629105186
"60","2013-02-04 02:00:00",17031062100,17031061100,240,0.6,4.84,17031062100,17031061100,2013,2,"Montag",4,2,NA,17031062100,41.942691844,-87.651770507,17031061100,41.949139771,-87.656803909
"61","2013-02-09 02:15:00",17031081700,17031070102,720,0.2,12.25,17031081700,17031070102,2013,2,"Samstag",9,2.25,NA,17031081700,41.892042136,-87.63186395,17031070102,41.93057857,-87.642206313
"62","2013-02-10 02:30:00",17031081600,17031061200,840,5.4,13.85,17031081600,17031061200,2013,2,"Sonntag",10,2.5,NA,17031081600,41.892072635,-87.628874157,17031061200,41.949060526,-87.661642904
"63","2013-02-10 02:45:00",17031062900,17031080100,540,3.1,9.65,17031062900,17031080100,2013,2,"Sonntag",10,2.75,NA,17031062900,41.936237179,-87.656411531,17031080100,41.907520075,-87.6266589
"64","2013-02-01 03:00:00",17031080300,17031032100,660,0.2,11.85,17031080300,17031032100,2013,2,"Freitag",1,3,NA,17031080300,41.90749193,-87.63576009,17031032100,41.958154876,-87.653021789
"65","2013-02-10 03:15:00",17031241400,17031070102,780,0.2,10.85,17031241400,17031070102,2013,2,"Sonntag",10,3.25,NA,17031241400,41.906025969,-87.675311622,17031070102,41.93057857,-87.642206313
"66","2013-02-24 03:30:00",17031071100,17031070300,300,9,5.25,17031071100,17031070300,2013,2,"Sonntag",24,3.5,NA,17031071100,41.921778188,-87.651061884,17031070300,41.929046937,-87.651310877
"67","2013-02-09 03:45:00",17031031700,17031030500,360,1.7,6.65,17031031700,17031030500,2013,2,"Samstag",9,3.75,NA,17031031700,41.965445784,-87.66319585,17031030500,41.987225558,-87.664937724
"68","2013-02-24 04:00:00",17031080202,17031832600,420,2.1,7.65,17031080202,17031832600,2013,2,"Sonntag",24,4,NA,17031080202,41.905857769,-87.630865027,17031832600,41.914747305,-87.654007029
"69","2013-02-23 04:15:00",17031280100,17031980000,1320,1,34.05,17031280100,17031980000,2013,2,"Samstag",23,4.25,NA,17031280100,41.885300022,-87.642808466,17031980000,41.97907082,-87.903039661
"70","2013-02-02 04:30:00",17031081202,17031070102,1020,0.1,13.85,17031081202,17031070102,2013,2,"Samstag",2,4.5,NA,17031081202,41.902788048,-87.62614559,17031070102,41.93057857,-87.642206313
"71","2013-02-10 04:45:00",17031081700,17031221400,600,0.2,12.45,17031081700,17031221400,2013,2,"Sonntag",10,4.75,NA,17031081700,41.892042136,-87.63186395,17031221400,41.920801704,-87.694532342
"72","2013-02-09 05:00:00",17031061100,17031030200,1020,4.5,12.85,17031061100,17031030200,2013,2,"Samstag",9,5,NA,17031061100,41.949139771,-87.656803909,17031030200,41.994442248,-87.665224776
"73","2013-02-11 05:15:00",17031081800,17031980000,1230,93.55,34.55,17031081800,17031980000,2013,2,"Montag",11,5.25,NA,17031081800,41.89321636,-87.63784421,17031980000,41.97907082,-87.903039661
"74","2013-02-22 05:30:00",17031839100,17031980000,2100,1.1,36.25,17031839100,17031980000,2013,2,"Freitag",22,5.5,NA,17031839100,41.880994471,-87.632746489,17031980000,41.97907082,-87.903039661
"75","2013-02-25 05:45:00",17031081000,17031980100,1320,13.6,28.45,17031081000,17031980100,2013,2,"Montag",25,5.75,NA,17031081000,41.900265687,-87.63210922,17031980100,41.785998518,-87.750934289
"76","2013-02-25 06:00:00",17031280100,17031980100,840,110,23.45,17031280100,17031980100,2013,2,"Montag",25,6,NA,17031280100,41.885300022,-87.642808466,17031980100,41.785998518,-87.750934289
"77","2013-02-13 06:15:00",17031320100,17031081800,480,1.3,6.85,17031320100,17031081800,2013,2,"Mittwoch",13,6.25,NA,17031320100,41.884987192,-87.620992913,17031081800,41.89321636,-87.63784421
"78","2013-02-14 06:30:00",17031071500,17031839100,360,2.2,7.65,17031071500,17031839100,2013,2,"Donnerstag",14,6.5,NA,17031071500,41.914616286,-87.631717366,17031839100,41.880994471,-87.632746489
"79","2013-02-25 06:45:00",17031281900,17031320400,240,0.6,5.05,17031281900,17031320400,2013,2,"Montag",25,6.75,NA,17031281900,41.879255084,-87.642648998,17031320400,41.877406123,-87.621971652
"80","2013-02-12 07:00:00",17031071500,17031081401,600,1.9,7.85,17031071500,17031081401,2013,2,"Dienstag",12,7,NA,17031071500,41.914616286,-87.631717366,17031081401,41.89503345,-87.619710672
"81","2013-02-24 07:15:00",17031062000,17031833100,960,0.2,13.05,17031062000,17031833100,2013,2,"Sonntag",24,7.25,NA,17031062000,41.942577185,-87.647078509,17031833100,41.879066994,-87.657005027
"82","2013-02-23 07:30:00",17031839100,17031330100,600,2.7,9.25,17031839100,17031330100,2013,2,"Samstag",23,7.5,NA,17031839100,41.880994471,-87.632746489,17031330100,41.859349715,-87.617358006
"83","2013-02-08 07:45:00",17031081100,17031842300,480,2.3,8.05,17031081100,17031842300,2013,2,"Freitag",8,7.75,NA,17031081100,41.900221297,-87.629105186,17031842300,41.89830587,-87.653613982
"84","2013-02-05 08:00:00",17031080300,17031081800,480,0.9,6.25,17031080300,17031081800,2013,2,"Dienstag",5,8,NA,17031080300,41.90749193,-87.63576009,17031081800,41.89321636,-87.63784421
"85","2013-02-08 08:15:00",17031281900,17031081700,420,0.7,5.65,17031281900,17031081700,2013,2,"Freitag",8,8.25,NA,17031281900,41.879255084,-87.642648998,17031081700,41.892042136,-87.63186395
"86","2013-02-25 08:30:00",17031081800,17031839100,560,1.16666666666667,6.78333333333333,17031081800,17031839100,2013,2,"Montag",25,8.5,NA,17031081800,41.89321636,-87.63784421,17031839100,41.880994471,-87.632746489
"87","2013-02-07 08:45:00",17031839100,17031841000,780,1.4,9.65,17031839100,17031841000,2013,2,"Donnerstag",7,8.75,NA,17031839100,41.880994471,-87.632746489,17031841000,41.849246754,-87.624135298
